wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity
n11192533	bn:00047932n	n	Morrison, Jim_Morrison, James_Douglas_Morrison	el_rey_lagarto, james_clarke, james_douglas_morrison_clarke, james_douglas_morrison, jim_morrison	United States rock singer (1943-1971)	0.303	13	9
n07049055	bn:00056917n	n	national_anthem	el_sarpe, himno_nacional, himno	a song formally adopted as the anthem for a nation	0.24	4	8
n10971981	bn:00030400n	n	Fitzgerald, Ella_Fitzgerald	ella_fitzgerald	United States scat singer (1917-1996)	1.0	12	8
n09789304	bn:00003586n	n	amorist	enamorado, eterno_enamorado, romántico	one dedicated to love and lovemaking especially one who writes about love	0.25	10	6
n10959074	bn:00030832n	n	Enesco, Georges_Enesco, George_Enescu	enesco, george_enescu, georges_enesco	Romanian violinist and composer (1881-1955)	0.495	12	8
n11066621	bn:00030846n	n	Humperdinck, Engelbert_Humperdinck	engelbert_humperdinck	German composer of six operas and other incidental music (1854-1921)	0.497	12	8
n04982745	bn:00073256n	n	speechlessness	enmudecimiento, mudez	the property of being speechless	1.0	8	6
n10885487	bn:00016352n	n	Caruso, Enrico_Caruso	enrico_caruso, enrique_caruso, karuzo_enriko	outstanding Italian operatic tenor (1873-1921)	0.445	13	9
n00897026	bn:00028948n	n	rehearsal, dry_run	ensayo	a practice session in preparation for a public performance (as of a play or speech or concert)	0.306	10	8
n00897365	bn:00028686n	n	dress_rehearsal	ensayo_general	a full uninterrupted rehearsal in costumes shortly before the first performance	0.283	11	9
n00897506	bn:00068559n	n	run-through	ensayo_general	an uninterrupted rehearsal	0.5	11	9
v01500572	bn:00088362v	v	plank, flump, plonk, plop, plunk, plump_down, plunk_down, plump	entablar	set (something or oneself) down with or as if with a noise	1.0	99	99
n01254685	bn:00017702n	n	intonation, chanting	entonación	the act of singing in a monotonous tone	0.267	11	9
v01066775	bn:00084795v	v	tone, chant, intone	entonar	utter monotonously and repetitively and rhythmically	0.667	99	99
n00429048	bn:00003693n	n	entertainment, amusement	entretencion, entretenedor, entretener, entretenido, entretenimiento, diversión, entretención	an activity that is diverting and that holds the attention	0.104	9	7
n10448568	bn:00063265n	n	poisoner	envenenador	someone who kills with poison	0.333	9	5
n06396330	bn:00031225n	n	episode	episodio	a brief section of a literary or dramatic work that forms part of a connected series	0.8	2	6
n10853413	bn:00011307n	n	Bloch, Ernest_Bloch	ernest_bloch	United States composer (born in Switzerland) who composed symphonies and chamber music and choral music and a piano sonata and an opera (1880-1959)	0.369	12	8
n11287437	bn:00031457n	n	Schumann-Heink, Ernestine_Schumann-Heink	ernestine_schumann-heink, ernestine_schumann_heink, schumann_heink, ernestine_amalie_pauline_röhsler	United States operatic contralto (1861-1936)	0.361	13	9
n05128096	bn:00037233n	n	gamut	escala, gama	a complete extent or range: "a face that expressed a gamut of emotions"	1.0	9	7
n06860826	bn:00052883n	n	major_scale, major_diatonic_scale	escala_mayor, modo_jonico, modo_mayor, tonalidad_mayor, modo_jónico, escala_diatónica_mayor	a diatonic scale with notes separated by whole tones except for the 3rd and 4th and 7th and 8th	0.657	10	10
n06861020	bn:00055200n	n	minor_scale, minor_diatonic_scale	escala_menor, modo_menor, tonalidad_menor, escala_diatónica_menor	a diatonic scale with notes separated by whole tones except for the 2nd and 3rd and 5th and 6th	0.643	10	10
n06856568	bn:00056469n	n	scale, musical_scale	escala_musical, escala, gama	(music) a series of notes differing in pitch according to a specific scheme (usually within an octave)	0.76	7	7
n06861435	bn:00061429n	n	pentatonic_scale, pentatone	escala_pentatonica_menor, escala_pentatonica, pentatonica, pentatone, pentatónica, escala_pentatónica, escala_pentatónica_menor	a gapped scale with five notes; usually the fourth and seventh notes of the diatonic scale are omitted	0.726	9	9
n04298171	bn:00073853n	n	stairs, steps	escalera	a flight of stairs or a flight of steps	0.178	11	7
n03632277	bn:00049652n	n	ladder	escalera_de_mano, escalera	steps consisting of two parallel members connected by rungs; for climbing up or down	0.007	12	8
n07009808	bn:00069553n	n	scene	escena	a subdivision of an act of a play	0.5	6	6
n07009946	bn:00012062n	n	script, book, playscript	escenario, guion, libreto, musical, playscript, script, trama, guión	a written version of a play or other dramatic composition; used in preparing for a performance	0.312	6	6
n07053606	bn:00008435n	n	scolion, banquet_song	escolion, scolion, scolia, escolión	a song (sometimes improvised) sung by guests at a banquet	0.148	3	7
n05128219	bn:00073238n	n	spectrum	espectro	a broad range of related objects or values or qualities or ideas or activities	0.333	9	7
n04537436	bn:00060211n	n	virginal, pair_of_virginals	espineta, virginal	a legless rectangular harpsichord; played (usually by women) in the 16th and 17th centuries	0.287	15	11
v02185988	bn:00091841v	v	pop	estallar, hacer_pum, reventar	make a sharp explosive noise	1.0	99	99
n07376257	bn:00008250n	n	bang, clap, eruption, blast, bam	estallido, golpe, zarpazo, zumbido, explosión, percusión	a sudden very loud noise	0.667	9	7
n07391516	bn:00067182n	n	report	estampido	a sharp explosive sound (especially the sound of a gun firing)	0.002	9	7
n04315948	bn:00074217n	n	stereo, stereophony, stereo_system, stereophonic_system	estéreo, sistema_estereofónico	reproducer in which two microphones feed two or more loudspeakers to give a three-dimensional effect to the sound	0.323	13	9
n07087346	bn:00066540n	n	recitative	estilo_de_recitativo, recitado, recitativo_accompagnato, recitativo	a vocal passage of narrative text that a singer delivers with natural rhythms of speech	0.69	3	7
n10121246	bn:00018678n	n	garroter, garrotter, strangler, throttler, choker	estrangulador	someone who kills by strangling	0.5	9	5
n10378290	bn:00059112n	n	opera_star, operatic_star	estrella_de_ópera	singer of lead role in an opera	0.75	12	8
n10536416	bn:00068075n	n	rock_star	estrella_de_rock, estrella_del_rock	a famous singer of rock music	0.933	12	8
n04073208	bn:00067023n	n	release	estreno, lanzamiento, release, publicación, publicación_musical	merchandise issued for sale or public showing (especially a record or film)	0.554	11	7
n07380473	bn:00019594n	n	clatter	estrépito	a rattling noise (often produced by rapid movement)	0.75	9	7
n04990021	bn:00071348n	n	shrillness, stridence, stridency	estridencia, estridor	having the timbre of a loud high-pitched sound	1.0	8	6
n07377473	bn:00011127n	n	blare, blaring, cacophony, clamor, din	estridencia, estruendo, fragor, jaleo, cacofonía, estrépito	a loud harsh or strident noise	0.5	9	7
n07380144	bn:00019432n	n	clang, clangor, clangour, clangoring, clank, clash, crash	estruendo, estrépito	a loud resonant repeating noise	1.0	9	7
n07390945	bn:00065847n	n	racket	estruendo, estrépito	a loud and disturbing noise	1.0	9	7
n13978709	bn:00037296n	n	tumult, tumultuousness, uproar, garboil	estruendo, tumulto	a state of commotion and noise and confusion	0.75	8	6
n07048627	bn:00074795n	n	study	estudio	a composition intended to develop one aspect of the performer's technique	0.88	2	6
n07043518	bn:00031755n	n	etude	estudio, etude, étude	a short composition for a solo instrument; intended as an exercise or to demonstrate technical virtuosity	0.885	2	6
n04064107	bn:00066590n	n	recording_studio	estudio_de_grabacion, estudio_de_grabación	studio where tapes and records are recorded	0.466	12	8
n11176527	bn:00031696n	n	Merman, Ethel_Merman	ethel_agnes_zimmermann, ethel_merman	United States singer who appeared in several musical comedies (1909-1984)	0.202	12	8
a00300738	bn:00102433a	a	euphonious, euphonous	eufónico	having a pleasant sound	1.0	99	99
n11216797	bn:00031813n	n	Ormandy, Eugene_Ormandy	eugene_ormandy, jeno_blau, ormandy, jenö_blau	United States conductor (born in Hungary) (1899-1985)	0.711	12	8
n00429713	bn:00031886n	n	eurythmy, eurhythmy, eurythmics, eurhythmics	euritmia, gimnasia_rítmica	the interpretation in harmonious bodily movements of the rhythm of musical compositions; used to teach musical understanding	0.5	9	7
n05851744	bn:00032115n	n	excellence, excellency	excelencia	an outstanding feature; something in which something or someone excels	0.619	11	9
n07029819	bn:00074034n	n	statement	exposición	(music) the presentation of a musical theme	1.0	3	7
n10074339	bn:00031355n	n	exterminator, terminator, eradicator	exterminadora, exterminador, marcus_wright, terminador	someone who exterminates (especially someone whose occupation is the extermination of troublesome rodents and insects)	0.019	9	5
n10292316	bn:00053285n	n	manufacturer, producer	fabricante, industrial, productor	someone who manufactures something	0.855	10	6
n07051441	bn:00032692n	n	fado	fado	a sad Portuguese folksong	0.434	4	8
n10965836	bn:00032815n	n	Falla, Manuel_de_Falla	falla,_manuel_de, falla,_manuel, manuel_de_falla_y_matheu, manuel_de_fallas, manuel_de_falla, manuel_maria_de_los_dolores_falla_y_matheu, manuel_maría_de_los_dolores_falla_y_matheu	Spanish composer and pianist (1876-1946)	0.256	12	8
n05127357	bn:00032878n	n	falsetto	falsetto, falsete, voz_de_cabeza	a male singing voice with artificially high tones in an upper register	0.766	10	8
n10148991	bn:00041957n	n	groupie	fan, groupie	an enthusiastic young fan (especially a young woman who follows rock groups around)	0.82	10	6
n06856884	bn:00033628n	n	flourish, fanfare, tucket	fanfarria	(music) a short lively tune played on brass instruments	0.533	2	6
n07044543	bn:00033644n	n	fantasia	fantasia, fantasía	a musical composition of a free form usually incorporating several familiar themes	0.896	2	6
n10455915	bn:00063698n	n	poseur, poser	farsante, impostor, posero, postureadora, postureador, posturero, postureo	a person who habitually pretends to be something he is not	0.656	12	8
n11372242	bn:00033805n	n	Waller, Fats_Waller, Thomas_Wright_Waller	fats_waller, thomas_wright_waller, waller	United States jazz musician (1904-1943)	1.0	12	8
n11173917	bn:00033993n	n	Mendelssohn, Felix_Mendelssohn, Jakob_Ludwig_Felix_Mendelssohn-Bartholdy	felix_mendelssohn-bartholdy, felix_mendelssohn_bartholdi, felix_mendelssohn	German musician and romantic composer of orchestral and choral works (1809-1847)	0.42	12	8
n11135236	bn:00036276n	n	Liszt, Franz_Liszt	ferenc_liszt, ferencz_liszt, francisco_liszt, franz_liszt, franz_ritter_von_liszt, liszt, ferenç_liszt	Hungarian composer and piano virtuoso (1811-1886)	0.446	12	8
n08248856	bn:00061953n	n	symphony_orchestra, symphony, philharmonic	filarmónica, orquesta_sinfónica	a large orchestra; can perform symphonies	0.717	9	7
n03369276	bn:00035420n	n	flugelhorn, fluegelhorn	fiscornio, fiscorno, fliscornio, fliscorno, fluegelhorn, flugelhorn, flügelhorn	a brass instrument resembling a cornet but with a wider bore	0.624	14	10
n03343354	bn:00034618n	n	fipple_flute, fipple_pipe, recorder, vertical_flute	flauta_de_pico, flauta_dulce	a tubular wind instrument with 8 finger holes and a fipple mouthpiece	0.499	14	10
n03912218	bn:00061399n	n	pennywhistle, tin_whistle, whistle	flauta_irlandesa, flauta_metalica_irlandesa, silbato_irlandes, silbato, flauta_metálica_irlandesa	an inexpensive fipple flute	0.587	15	11
n10098245	bn:00035127n	n	flutist, flautist, flute_player	flautista, flauta	someone who plays the flute	0.522	11	7
n10435041	bn:00007954n	n	piper, bagpiper	flautista, gaitera, gaitero	someone who plays the bagpipe	0.8	11	7
n07060167	bn:00031725n	n	folk_music, ethnic_music, folk	folclore, folk, musica_folclorica, musica_folklorica, musica_folk, musica_tipica, musica_tradicional, folk_música, música_folk, musica_típica, música_tipica, música_étnica, musica_folclórica, musica_folklórica, música_folclorica, música_folclórica, música_folklorica, música_folklórica, música_tradicional	the traditional and typically anonymous music that is an expression of the life of people in a community	0.61	3	6
n04064401	bn:00062042n	n	record_player, phonograph	fonografo, tocadiscos, tocata, fonógrafo	machine in which rotating records cause a stylus to vibrate and the vibrations are amplified acoustically or electronically	0.223	12	8
n05932282	bn:00072790n	n	sonata_form	forma_de_allegro_de_sonata, forma_de_sonata, forma_sonata	a musical form having 3 sections -- exposition and development and recapitulation; characteristic of 1st movement of a sonata or symphony	0.859	12	10
n07030012	bn:00079588n	n	variation	forma_variaciones, tema_con_variaciones, variacion, variación	a repetition of a musical theme in which it is modified or embellished	0.907	3	7
n03928116	bn:00035986n	n	piano, pianoforte, forte-piano	forte-piano, pianoforte, piano	a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds	0.463	13	9
n04990781	bn:00035984n	n	forte, fortissimo	fortissimo, forte	(music) loud	0.737	8	6
n03853291	bn:00059287n	n	orchestra_pit, pit	foso_de_orquesta, orquestra, orquesta	lowered area in front of a stage where an orchestra accompanies the performers	0.37	11	7
n11302062	bn:00036209n	n	Sinatra, Frank_Sinatra, Francis_Albert_Sinatra	francis_a._sinatra, francis_albert_sinatra, frank_sinatra, la_voz, sinatra	United States singer and film actor (1915-1998)	0.348	11	7
n11244419	bn:00036218n	n	Poulenc, Francis_Poulenc	francis_jean_marcel_poulenc, francis_poulenc, poulenc	French pianist and composer (1899-1963)	0.584	12	8
n10913010	bn:00023267n	n	Couperin, Francois_Couperin	francois_couperin, françois_couperin	French composer of music for organ and a member of a family of distinguished organists (1668-1733)	0.46	12	8
n11125080	bn:00036275n	n	Lehar, Franz_Lehar	franz_lehar, lehar, franz_lehár	Hungarian composer of light operas (1870-1948)	0.326	12	8
n11286618	bn:00036277n	n	Schubert, Franz_Schubert, Franz_Peter_Schubert, Franz_Seraph_Peter_Schubert	franz_peter_schubert, franz_schubert, schubert	Austrian composer known for his compositions for voice and piano (1797-1828)	0.414	12	8
n07045353	bn:00056468n	n	phrase, musical_phrase	frase_musical, fraseo, frase	a short musical passage	0.657	3	7
n11110791	bn:00036604n	n	Kreisler, Fritz_Kreisler	fritz_kreisler	United States violinist (born in Austria) (1875-1962)	0.478	12	8
n11023883	bn:00036624n	n	Halevy, Fromental_Halevy, Jacques_Francois_Fromental_Elie_Halevy	fromental_halevy, halevy, jacques-fromental_halevy, jacques_fromental_halevy, jacques_fromental_levy_halevy, jacques_halevy, halévy, jacques_halévy, fromental_halévy, jacques-fromental_halévy, jacques_fromental_halévy, jacques_fromental_levy_halévy, jacques_fromental_lévy_halevy, jacques_fromental_lévy_halévy	French operatic composer (1799-1862)	0.376	12	8
