wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:10338707n	bn:00051488n	n	murderer, liquidator, manslayer	asesina, asesino, homicida, matador, victimario	a criminal who commits homicide (who performs the unlawful premeditated killing of another human being)	0.006	9	5	NO
wn:10231087n	bn:00049103n	n	killer, slayer	asesina, asesino, homicida, slayer	someone who causes the death of a person or animal	0.572	8	4	NO
wn:14499111n	bn:00072843n	n	sordidness, squalor, squalidness	asquerosidad, escualidez, inmundicia, miseria, sordidez, cutrería	sordid dirtiness	1.0	9	7	NO
wn:03612965n	bn:00048981n	n	kettle, kettledrum, tympanum, tympani, timpani	atabal, timbal_de_concierto, timbal_grande, timbal, tímpano, tímpanos	a large hemispherical brass or copper percussion instrument with a drumhead that can be tuned by adjusting the tension on it	0.533	13	9	YES
wn:10492627n	bn:00065218n	n	puncher	atacante, puncher	someone who delivers punches	0.5	10	6	NO
wn:06864014n	bn:00006943n	n	atonality, atonalism	atonalidad, atonalismo, música_atonal	the absence of a key; alternative to the diatonic system	0.663	7	7	YES
wn:02647236a	bn:00097701a	a	atonalistic	atonalístico	of or relating to atonalism	1.0	99	99	YES
wn:09837088n	bn:00008314n	n	bandit, brigand	atracador, bandido, bandolera, bandolero, forajido, pistolero	an armed thief who is (usually) a member of a band	0.165	13	9	NO
wn:03801760n	bn:00056453n	n	music_stand, music_rack	atril	a light stand for holding sheets of printed music	0.521	13	9	YES
wn:06278136n	bn:00007101n	n	audio, sound	audio, sonido, volumen	the audible part of a transmitted signal	0.5	2	4	YES
wn:02171664v	bn:00085998v	v	whine, squeak, screech, creak, screak, skreak	aullar, chirriar, crujir, rechinar	make a high-pitched, screeching noise	0.75	99	99	YES
wn:07385367n	bn:00045076n	n	howl	aullido	a loud sustained noise resembling the cry of a hound	0.25	9	7	YES
wn:04990692n	bn:00075575n	n	swell	aumento, incremento	a crescendo followed by a decrescendo	1.0	9	7	YES
wn:11105298n	bn:00007606n	n	King, B._B._King, Riley_B_King	b._b._king, b.b._king, b.b.king, b.b_king, b_b_king, bb_king	United States guitar player and singer of the blues (born in 1925)	0.519	12	8	NO
wn:13284562n	bn:00013043n	n	bribe, payoff	bacalada, cohecho, coima, matraca, mordida, soborno, alfadía	payment made to a person in a position of trust to corrupt his judgment	0.571	10	8	NO
wn:09829798n	bn:00007689n	n	bacchant, bacchanal	bacanal, bacante, ménade	a drunken reveller; a devotee of Bacchus	0.5	10	6	NO
wn:07277915n	bn:00007701n	n	Bach	bach	the music of Bach	1.0	1	5	NO
wn:10830229n	bn:00007700n	n	Bach, Johann_Sebastian_Bach	bach, johann_sebastian_bach	German baroque organist and contrapuntist; composed mostly keyboard music; one of the greatest creators of western music (1685-1750)	0.456	12	8	NO
wn:02869249n	bn:00012018n	n	bones, castanets, clappers, finger_cymbals	badajo, hueso, maracas, platillos, castañuelas	a percussion instrument consisting of a pair of hollow pieces of wood or bone (usually held between the thumb and fingers) that are made to click together (as by Spanish dancers) in rhythm with the dance	0.134	13	9	YES
wn:10557404n	bn:00069607n	n	schmuck, shmuck, schmo, shmo	badulaque, idiota, tonto, bobalicón	(Yiddish) a jerk	0.5	11	7	NO
wn:07042498n	bn:00007935n	n	bagatelle	bagatela	a light piece of music for piano	0.865	2	6	YES
wn:01897203v	bn:00083772v	v	boogie	bailar_boogie_boogie	dance to boogie music	1.0	99	99	YES
wn:01708542v	bn:00089972v	v	jive	bailar_el_jive	dance to jive music; dance the jive	1.0	99	99	YES
wn:00530874n	bn:00014612n	n	cakewalk	baile_cakewalk, cake_walk, cakewalk, danza_cakewalk	a strutting dance based on a march; was performed in minstrel shows; originated as a competition among Black dancers to win a cake	0.491	9	7	YES
wn:10831363n	bn:00007977n	n	Bailey, Pearl_Bailey, Pearl_Mae_Bailey	bailey, pearl_bailey, pearl_mae_bailey	United States singer (1918-1990)	1.0	12	8	NO
wn:00393534v	bn:00087373v	v	flatten, drop	bajar, engravecer	lower the pitch of (musical notes)	1.0	99	99	YES
wn:09842629n	bn:00008939n	n	bassist	bajista, guitarrita	a musician who play the bass viol	0.916	11	7	YES
wn:07032292n	bn:00008912n	n	bass, bass_part	bajo	the lowest part in polyphonic music	1.0	3	7	YES
wn:09842528n	bn:00008913n	n	bass, basso	bajo	an adult male singer with the lowest voice	0.5	12	8	YES
wn:07032426n	bn:00041892n	n	ground_bass	bajo rítmico	a short melody in the bass that is constantly repeated	0.871	4	8	YES
wn:06872354n	bn:00008916n	n	bass, bass_voice, basso	bajo, base	the lowest adult male singing voice	0.875	5	5	YES
wn:04986796n	bn:00008911n	n	bass	bajo, grave, sonido_grave	the lowest part of the musical range	0.712	8	6	YES
wn:02804123n	bn:00008923n	n	bass_guitar	bajo, guitarra_baja, guitarra_bajo, bajo_eléctrico	the guitar with six strings that has the lowest pitch	0.678	13	9	YES
wn:07032556n	bn:00008940n	n	figured_bass, basso_continuo, continuo, thorough_bass	bajo_cifrado, continuo	a bass part written out in full and accompanied by numbers to indicate the chords to be played	0.867	4	8	YES
wn:09842716n	bn:00008943n	n	bassoonist	bajonista, fagotista, fagot	a musician who plays the bassoon	0.724	11	7	YES
wn:06378427n	bn:00008156n	n	ballade	balada	a poem consisting of 3 stanzas and an envoy	0.67	7	7	YES
